device_type_key,device_name,category,industry,connectivity,data_frequency,avg_data_mb_month,power_mode,certification
1,Asset Tracker Type 1,Asset Tracker,Logistics,2G,Hourly,6.17,Battery,GCF
2,Smart Meter Type 2,Smart Meter,Utilities,2G,Real-time,67.06,Battery,FCC
3,Smart Meter Type 3,Smart Meter,Utilities,4G,Daily,80.13,Mains,FCC
4,Building Automation Type 4,Building Automation,Property,2G,Daily,29.76,Mains,PTCRB
5,Building Automation Type 5,Building Automation,Property,NB-IoT,Real-time,32.5,Solar,CE
6,Agricultural Sensor Type 6,Agricultural Sensor,Agriculture,3G,Real-time,99.36,Solar,GCF
7,Connected Car Type 7,Connected Car,Automotive,2G,Daily,24.86,Mains,CE
8,Building Automation Type 8,Building Automation,Property,4G,Hourly,24.32,Mains,CE
9,Medical Device Type 9,Medical Device,Healthcare,3G,Real-time,77.79,Battery,GCF
10,Building Automation Type 10,Building Automation,Property,NB-IoT,Hourly,98.23,Mains,PTCRB
11,Connected Car Type 11,Connected Car,Automotive,LTE-M,Weekly,25.44,Mains,FCC
12,Connected Car Type 12,Connected Car,Automotive,LTE-M,Real-time,26.25,Solar,GCF
13,Medical Device Type 13,Medical Device,Healthcare,2G,Weekly,64.32,Solar,GCF
14,Agricultural Sensor Type 14,Agricultural Sensor,Agriculture,4G,Real-time,68.02,Solar,FCC
15,Medical Device Type 15,Medical Device,Healthcare,4G,Real-time,22.26,Solar,PTCRB
16,Smart Meter Type 16,Smart Meter,Utilities,2G,Daily,54.2,Solar,FCC
17,Building Automation Type 17,Building Automation,Property,2G,Weekly,53.51,Solar,FCC
18,POS Terminal Type 18,POS Terminal,Retail,2G,Hourly,45.43,Battery,PTCRB
19,Vehicle Tracker Type 19,Vehicle Tracker,Automotive,2G,Daily,33.88,Battery,CE
20,Security Camera Type 20,Security Camera,Security,NB-IoT,Hourly,9.33,Battery,PTCRB
21,Wearable Type 21,Wearable,Consumer,2G,Daily,37.91,Battery,FCC
22,Environmental Sensor Type 22,Environmental Sensor,Industrial,NB-IoT,Weekly,36.38,Solar,FCC
23,POS Terminal Type 23,POS Terminal,Retail,2G,Real-time,50.36,Mains,GCF
24,Vending Machine Type 24,Vending Machine,Retail,NB-IoT,Hourly,63.81,Solar,PTCRB
25,Connected Car Type 25,Connected Car,Automotive,LTE-M,Real-time,91.09,Solar,CE
26,Medical Device Type 26,Medical Device,Healthcare,3G,Daily,26.55,Battery,CE
27,POS Terminal Type 27,POS Terminal,Retail,3G,Hourly,51.71,Mains,CE
28,Smart Meter Type 28,Smart Meter,Utilities,4G,Hourly,95.98,Solar,CE
29,Connected Car Type 29,Connected Car,Automotive,NB-IoT,Real-time,90.55,Mains,PTCRB
30,Vending Machine Type 30,Vending Machine,Retail,3G,Hourly,3.78,Battery,PTCRB
31,POS Terminal Type 31,POS Terminal,Retail,4G,Weekly,53.27,Battery,CE
32,Connected Car Type 32,Connected Car,Automotive,2G,Real-time,48.5,Mains,FCC
33,Asset Tracker Type 33,Asset Tracker,Logistics,2G,Daily,26.3,Mains,FCC
34,Medical Device Type 34,Medical Device,Healthcare,LTE-M,Hourly,46.98,Mains,FCC
35,Building Automation Type 35,Building Automation,Property,NB-IoT,Real-time,55.9,Battery,GCF
36,Smart Meter Type 36,Smart Meter,Utilities,3G,Weekly,74.43,Battery,GCF
37,Vending Machine Type 37,Vending Machine,Retail,3G,Hourly,42.62,Mains,CE
38,Vending Machine Type 38,Vending Machine,Retail,4G,Real-time,14.04,Battery,PTCRB
39,Wearable Type 39,Wearable,Consumer,2G,Daily,7.98,Battery,FCC
40,Connected Car Type 40,Connected Car,Automotive,NB-IoT,Weekly,48.94,Mains,FCC
41,Smart Meter Type 41,Smart Meter,Utilities,4G,Daily,89.19,Battery,GCF
42,Environmental Sensor Type 42,Environmental Sensor,Industrial,2G,Weekly,73.38,Battery,FCC
43,Wearable Type 43,Wearable,Consumer,4G,Daily,94.45,Battery,GCF
44,Smart Meter Type 44,Smart Meter,Utilities,LTE-M,Real-time,89.69,Mains,PTCRB
45,Agricultural Sensor Type 45,Agricultural Sensor,Agriculture,2G,Hourly,59.26,Mains,PTCRB
46,Medical Device Type 46,Medical Device,Healthcare,3G,Weekly,95.73,Mains,GCF
47,Smart Meter Type 47,Smart Meter,Utilities,LTE-M,Real-time,63.77,Mains,CE
48,Agricultural Sensor Type 48,Agricultural Sensor,Agriculture,3G,Real-time,66.53,Mains,GCF
49,POS Terminal Type 49,POS Terminal,Retail,LTE-M,Real-time,84.19,Battery,CE
50,Building Automation Type 50,Building Automation,Property,LTE-M,Hourly,74.61,Battery,FCC
51,Smart Meter Type 51,Smart Meter,Utilities,4G,Daily,68.0,Battery,CE
52,Medical Device Type 52,Medical Device,Healthcare,NB-IoT,Daily,36.05,Battery,FCC
53,Agricultural Sensor Type 53,Agricultural Sensor,Agriculture,3G,Real-time,24.42,Solar,PTCRB
54,Medical Device Type 54,Medical Device,Healthcare,2G,Hourly,18.62,Mains,CE
55,POS Terminal Type 55,POS Terminal,Retail,NB-IoT,Weekly,58.7,Solar,FCC
56,Vending Machine Type 56,Vending Machine,Retail,NB-IoT,Hourly,82.9,Solar,PTCRB
57,Vending Machine Type 57,Vending Machine,Retail,LTE-M,Weekly,43.76,Mains,GCF
58,Asset Tracker Type 58,Asset Tracker,Logistics,4G,Real-time,67.66,Mains,CE
59,Wearable Type 59,Wearable,Consumer,LTE-M,Real-time,25.99,Battery,GCF
60,Environmental Sensor Type 60,Environmental Sensor,Industrial,NB-IoT,Daily,58.58,Solar,CE
61,Asset Tracker Type 61,Asset Tracker,Logistics,3G,Real-time,80.69,Mains,FCC
62,Smart Meter Type 62,Smart Meter,Utilities,NB-IoT,Weekly,97.15,Solar,PTCRB
63,Connected Car Type 63,Connected Car,Automotive,NB-IoT,Weekly,64.76,Mains,GCF
64,Asset Tracker Type 64,Asset Tracker,Logistics,2G,Daily,49.43,Battery,FCC
65,Connected Car Type 65,Connected Car,Automotive,2G,Real-time,2.92,Battery,FCC
66,Vehicle Tracker Type 66,Vehicle Tracker,Automotive,4G,Daily,82.74,Battery,GCF
67,Building Automation Type 67,Building Automation,Property,2G,Daily,63.47,Battery,CE
68,Security Camera Type 68,Security Camera,Security,LTE-M,Real-time,67.71,Solar,FCC
69,POS Terminal Type 69,POS Terminal,Retail,NB-IoT,Real-time,27.37,Mains,FCC
70,Vending Machine Type 70,Vending Machine,Retail,2G,Real-time,61.39,Mains,CE
71,Agricultural Sensor Type 71,Agricultural Sensor,Agriculture,2G,Hourly,60.48,Solar,FCC
72,POS Terminal Type 72,POS Terminal,Retail,3G,Hourly,56.74,Solar,CE
73,Agricultural Sensor Type 73,Agricultural Sensor,Agriculture,3G,Real-time,97.98,Mains,CE
74,Environmental Sensor Type 74,Environmental Sensor,Industrial,3G,Daily,48.35,Solar,PTCRB
75,Environmental Sensor Type 75,Environmental Sensor,Industrial,2G,Weekly,36.4,Solar,CE
76,Vehicle Tracker Type 76,Vehicle Tracker,Automotive,4G,Daily,13.32,Solar,FCC
77,Connected Car Type 77,Connected Car,Automotive,LTE-M,Weekly,32.54,Battery,FCC
78,Vehicle Tracker Type 78,Vehicle Tracker,Automotive,3G,Hourly,99.55,Battery,GCF
79,Smart Meter Type 79,Smart Meter,Utilities,4G,Real-time,12.53,Battery,CE
80,Building Automation Type 80,Building Automation,Property,3G,Daily,3.35,Mains,FCC
81,Vehicle Tracker Type 81,Vehicle Tracker,Automotive,4G,Real-time,49.73,Mains,GCF
82,Medical Device Type 82,Medical Device,Healthcare,3G,Real-time,54.88,Mains,GCF
83,Security Camera Type 83,Security Camera,Security,LTE-M,Daily,0.19,Battery,CE
84,Asset Tracker Type 84,Asset Tracker,Logistics,NB-IoT,Weekly,78.08,Solar,PTCRB
85,Vending Machine Type 85,Vending Machine,Retail,3G,Real-time,41.93,Battery,CE
86,Vehicle Tracker Type 86,Vehicle Tracker,Automotive,LTE-M,Weekly,27.16,Solar,PTCRB
87,Smart Meter Type 87,Smart Meter,Utilities,NB-IoT,Hourly,55.07,Battery,CE
88,Medical Device Type 88,Medical Device,Healthcare,4G,Real-time,97.87,Solar,CE
89,Smart Meter Type 89,Smart Meter,Utilities,2G,Hourly,89.19,Mains,PTCRB
90,Agricultural Sensor Type 90,Agricultural Sensor,Agriculture,LTE-M,Daily,69.57,Battery,FCC
91,Smart Meter Type 91,Smart Meter,Utilities,3G,Real-time,58.06,Mains,GCF
92,POS Terminal Type 92,POS Terminal,Retail,NB-IoT,Hourly,26.09,Mains,CE
93,Wearable Type 93,Wearable,Consumer,NB-IoT,Hourly,34.49,Solar,FCC
94,Building Automation Type 94,Building Automation,Property,LTE-M,Daily,45.86,Battery,CE
95,Asset Tracker Type 95,Asset Tracker,Logistics,LTE-M,Daily,18.66,Mains,GCF
96,Wearable Type 96,Wearable,Consumer,NB-IoT,Daily,28.63,Mains,FCC
97,Connected Car Type 97,Connected Car,Automotive,2G,Real-time,97.07,Mains,GCF
98,Medical Device Type 98,Medical Device,Healthcare,4G,Hourly,2.32,Solar,PTCRB
99,Wearable Type 99,Wearable,Consumer,3G,Hourly,54.76,Battery,FCC
100,Agricultural Sensor Type 100,Agricultural Sensor,Agriculture,NB-IoT,Weekly,92.22,Battery,CE
